"","first_names","last_names","income_unit","income","annual_income","expense_unit","expense","annual_expense","annual_pet_expense","gained_pet","lost_pet","happiness","age_respondent","female_respondent","cats_n_dogs","dog_register","case_id"
"57","Devin","al-Latif","Weekly",433.475911905125,22540.7474190665,"Yearly",1597.59189236779,1597.59189236779,261.101038781437,0,0,11,36,0,1,NA,57
"58","Laura","Thomson","Weekly",404.039228045106,21010.0398583455,"Monthly",398.159189856022,4777.91027827226,1213.17055956038,1,0,11,50,0,1,0,58
"59","Sierra","Arechiga","Yearly",26256.1656344052,26256.1656344052,"Yearly",24620.082863283,24620.082863283,23191.9576603853,0,0,8,36,1,1,0,59
"60","Ya'qoob","Klimek","Yearly",78067.2155773822,78067.2155773822,"Weekly",393.282980784059,20450.715000771,17197.4930924562,1,0,8,46,1,1,1,60
"61","Farhaana","Enriquez","Yearly",7123.79070258488,7123.79070258488,"Yearly",3665.66158846853,3665.66158846853,239.583469777987,0,0,16,55,1,1,1,61
"62","Ryan","el-Rabbani","Monthly",1145.3564465154,13744.2773581848,"Weekly",420.371876478672,21859.3375768909,2138.60845375815,1,1,7,47,0,1,1,62
"63","Haala","el-Azad","Yearly",30894.1950018039,30894.1950018039,"Weekly",113.341911885554,5893.77941804883,4025.20623602227,0,1,7,43,1,1,1,63
"64","Donovan","Miller","Yearly",50728.1562820426,50728.1562820426,"Weekly",1196.75113171976,62231.0588494275,30313.9554611714,NA,0,2,39,1,1,1,64
"65","Dakota","Zoesch","Yearly",79079.3190851384,79079.3190851384,"Weekly",1524.5090136432,79274.4687094463,28251.2060771115,0,0,7,44,0,1,1,65
"66","Ashley","al-Abdelrahman","Yearly",48335.380010211,48335.380010211,"Yearly",25017.7906453385,25017.7906453385,3981.92869863485,NA,1,14,45,0,1,0,66
"67","Andrea","Porterfield","Yearly",25148.6577119054,25148.6577119054,"Yearly",5172.43608379948,5172.43608379948,732.489458108058,0,1,10,46,1,0,NA,67
"68","Hysendra","Calderon","Weekly",331.145322421641,17219.5567659254,"Weekly",440.29202426038,22895.1852615398,11160.124619231,1,0,14,48,0,1,1,68
"69","Anna","Pak","Monthly",8753.62806169725,105043.536740367,"Monthly",8058.05359174872,96696.6431009846,9861.85463613644,0,0,4,57,1,1,1,69
"70","Jakarah","Spensieri","Weekly",51.2909735553581,2667.13062487862,"Weekly",51.3897714185425,2672.26811376421,195.1163964957,0,0,7,51,0,1,NA,70
"71","Naseer","Prophet","Yearly",25534.8602712006,25534.8602712006,"Monthly",207.983088498919,2495.79706198703,2260.56040589284,0,0,5,41,0,1,1,71
"72","Michael","Brunson","Weekly",460.421919694176,23941.9398240971,"Weekly",248.811994379083,12938.2237077123,3998.12192140436,1,0,10,48,1,1,1,72
"73","Daawood","el-Elamin","Yearly",31332.1305552131,31332.1305552131,"Weekly",773.635403628234,40229.0409886682,17085.5414581707,0,0,6,30,1,1,1,73
"74","Antonio","Rael","Monthly",5336.09827814172,64033.1793377006,"Yearly",18527.3453845118,18527.3453845118,10037.696832725,0,0,7,47,1,1,NA,74
"75","Zachary","Nguyen","Yearly",5327.71889589572,5327.71889589572,"Yearly",7766.14267917775,7766.14267917775,4643.21332878248,NA,0,6,56,0,1,1,75
"76","Cheno","Gardner","Yearly",27955.8484085592,27955.8484085592,"Yearly",12470.1263783236,12470.1263783236,3878.14735824782,0,1,5,33,1,1,NA,76
"77","Arshad","Perea","Weekly",250.16561599976,13008.6120319875,"Monthly",396.305263116227,4755.66315739473,196.858246013325,0,1,6,43,0,1,1,77
"78","Tiffine","Savage","Yearly",19288.1490672608,19288.1490672608,"Weekly",100.656632736114,5234.14490227795,131.646086773339,0,0,7,43,0,1,0,78
"79","Adeeba","Nava","Monthly",5426.34361385838,65116.1233663005,"Yearly",76677.7254052973,76677.7254052973,16095.5242159825,0,0,6,50,1,1,NA,79
"80","Bryana","Smith","Weekly",491.40682264921,25553.1547777589,"Yearly",27098.6713222041,27098.6713222041,2143.80316041706,1,0,13,56,0,1,1,80
"81","Jonathan","Culpepper","Weekly",740.576292045383,38509.9671863599,"Yearly",3415.16778571305,3415.16778571305,926.483907342239,NA,1,7,40,1,1,0,81
"82","Hissa","Perry","Monthly",1293.45474162675,15521.4568995209,"Yearly",14314.4070620135,14314.4070620135,5866.36971973595,1,0,7,37,0,1,1,82
"83","Robert","Olguin","Weekly",49.953773157732,2597.59620420206,"Yearly",444.081471502852,444.081471502852,4.05556294480987,1,0,5,46,0,1,NA,83
"84","Prettyboy","Espinosa","Weekly",104.672915454641,5442.99160364135,"Weekly",67.0675863596499,3487.51449070179,1275.92307712479,1,0,13,38,1,1,NA,84
"85","Marco","el-Jafri","Weekly",129.321034383156,6724.69378792413,"Yearly",5453.05362003648,5453.05362003648,5209.91189079488,1,1,4,46,1,1,1,85
"86","Alexandra","el-Saade","Weekly",162.656443762736,8458.13507566229,"Weekly",15.1210102688274,786.292533979023,5.64631037611526,1,0,11,34,1,0,NA,86
"87","Travion","Lor","Yearly",11364.8381301321,11364.8381301321,"Yearly",4650.6972363377,4650.6972363377,3698.64282390057,0,0,8,43,1,1,1,87
"88","Aaron","Serrano","Weekly",2404.73365178692,125046.14989292,"Yearly",80152.033192626,80152.033192626,8826.18240718565,1,0,9,39,1,0,NA,88
"89","Anupama","Bailey","Monthly",6236.05998370194,74832.7198044233,"Yearly",15955.0650538396,15955.0650538396,2743.98600729432,0,1,11,23,0,1,1,89
"90","Sara","Joe","Weekly",133.835232529178,6959.43209151726,"Weekly",69.4653064931256,3612.19593764253,599.299860250374,1,1,4,39,1,1,NA,90
"91","Luis","Valadez","Yearly",31785.3211871869,31785.3211871869,"Yearly",30029.3664624597,30029.3664624597,1246.51133312462,1,0,5,50,1,1,NA,91
"92","Jameel","Begay","Yearly",10333.6555106652,10333.6555106652,"Weekly",204.159140561918,10616.2753092197,6727.83490628263,0,NA,10,35,1,1,1,92
"93","Amara","Badsky","Weekly",70.4616251608625,3664.00450836485,"Yearly",3306.83759129768,3306.83759129768,100.094693706079,0,0,15,37,1,1,NA,93
"94","Matthew","Anderson","Weekly",443.953213121288,23085.567082307,"Yearly",4849.51715131526,4849.51715131526,552.035829667931,1,0,7,58,0,1,1,94
"95","Joseph","Haskell","Weekly",373.722472718542,19433.5685813642,"Yearly",16714.5876047173,16714.5876047173,1369.56959917129,1,0,7,60,1,1,NA,95
"96","Zuhair","Molitor","Yearly",31455.5885289585,31455.5885289585,"Weekly",89.1977343874839,4638.28218814916,607.727156200583,0,0,8,46,1,1,NA,96
"97","Thomas","Hubbart Jr","Yearly",52986.2798028087,52986.2798028087,"Yearly",84020.8493977328,84020.8493977328,15757.7365272659,0,NA,6,50,1,1,1,97
"98","Abdul Fattaah","Trujillo","Weekly",435.426145438265,22642.1595627898,"Yearly",5417.72811051287,5417.72811051287,2942.85928700242,1,0,12,40,1,1,0,98
"99","Christian","Siekman","Monthly",2185.69269342295,26228.3123210754,"Weekly",10.7021185503424,556.510164617804,110.807730126214,1,0,12,60,0,1,NA,99
"100","Muneef","Rodriguez","Yearly",54678.5092575,54678.5092575,"Weekly",335.134046435559,17426.970414649,4737.11639460611,1,0,16,36,1,1,NA,100
"101","Frederico","Williams","Weekly",388.67698844156,20211.2033989611,"Yearly",8370.22100073704,8370.22100073704,1507.33485300697,1,0,9,43,1,1,0,101
"102","Ryan","Pineau","Weekly",388.538511568889,20204.0026015822,"Monthly",1919.66845749243,23036.0214899091,1696.22228373198,1,0,8,42,0,1,NA,102
"103","Alexis","Lee","Weekly",649.018164724069,33748.9445656516,"Monthly",902.851249742683,10834.2149969122,1578.79247176472,0,1,9,48,1,0,NA,103
"104","Isaac","Shoeboot","Monthly",621.526140001168,7458.31368001402,"Weekly",98.6151934551925,5127.99005967001,520.396741956681,0,0,13,62,1,1,0,104
"105","Wajdi","Kierstead","Yearly",12436.5210789531,12436.5210789531,"Yearly",9508.8693683768,9508.8693683768,994.896631032106,0,1,7,49,0,1,0,105
"106","Courtney","Deck","Weekly",147.671089433409,7678.89665053727,"Monthly",318.866114635132,3826.39337562159,156.845429871525,1,1,6,38,1,1,0,106
"107","Eamonn","Castillo","Weekly",1189.68158227241,61863.4422781656,"Weekly",3298.42019008373,171517.849884354,34722.7007935957,1,0,15,34,0,1,1,107
"108","Alexia","Molock","Yearly",23424.3767923409,23424.3767923409,"Yearly",11570.6546982878,11570.6546982878,1601.08582950086,NA,0,15,56,1,1,1,108
"109","Mckylaa","Solano","Yearly",33646.5882618752,33646.5882618752,"Yearly",6094.88134223743,6094.88134223743,3589.30413042516,1,0,9,57,0,1,0,109
"110","Christina","Tomlin","Yearly",9027.40548980865,9027.40548980865,"Weekly",404.473819044975,21032.6385903387,970.659741750394,1,0,13,68,1,1,1,110
"111","Molly","Samake","Yearly",86357.7649188409,86357.7649188409,"Yearly",23789.2004801113,23789.2004801113,1936.67877317258,0,1,4,49,1,0,NA,111
"112","Naseema","Davis","Weekly",6598.30397940026,343111.806928814,"Weekly",1918.51783667768,99762.9275072394,78059.6361182016,0,0,6,44,1,1,NA,112
"113","Mahfoodha","el-Sham","Yearly",4846.30747086074,4846.30747086074,"Weekly",98.9265491469412,5144.18055564094,1258.02980393455,0,NA,6,43,0,1,1,113
"114","Shalynn","Gilbert","Yearly",51191.2511937522,51191.2511937522,"Yearly",10599.2348864889,10599.2348864889,4703.50524380225,NA,0,8,39,0,1,0,114
"115","Raeven","Roybal","Monthly",985.075869963073,11820.9104395569,"Monthly",1037.44195039032,12449.3034046838,1492.35084812577,1,1,7,52,0,1,NA,115
"116","Indigo","Dupree","Yearly",40915.6157283757,40915.6157283757,"Weekly",212.758802667225,11063.4577386957,2991.96915558174,1,0,12,36,1,1,NA,116
"117","Christopher","Swenson","Weekly",407.80485728279,21205.8525787051,"Yearly",5170.87665173241,5170.87665173241,4350.36733008921,0,1,8,43,1,1,NA,117
"118","Kenya","Bieser","Weekly",257.110738455801,13369.7583997016,"Weekly",153.622863586084,7988.38890647635,6113.21807929138,0,0,10,23,1,1,1,118
"119","Matthew","Olguin","Weekly",482.285487256606,25078.8453373435,"Monthly",3005.50165267629,36066.0198321155,10006.6180385015,1,1,7,35,0,1,NA,119
"120","Jalhon","Smith","Weekly",409.207627066809,21278.7966074741,"Yearly",11288.0824470557,11288.0824470557,3867.98145825509,NA,0,4,26,0,1,0,120
"121","Aaron","Nguyen","Yearly",19527.3067385101,19527.3067385101,"Yearly",8908.31477794992,8908.31477794992,450.7032591716,1,1,3,46,1,1,1,121
"122","Blake","Aldaz Holguin","Weekly",69.1976257774596,3598.2765404279,"Weekly",55.2087522276125,2870.85511583585,2639.3739959669,1,0,9,50,1,1,NA,122
"123","Mahbooba","Shin","Weekly",189.142848123323,9835.42810241281,"Yearly",3193.95164141037,3193.95164141037,414.427749654003,1,1,11,45,1,1,1,123
"124","Kyla","Merritt","Yearly",33453.2566028846,33453.2566028846,"Yearly",3743.53568057752,3743.53568057752,3185.486203391,NA,0,15,46,0,1,1,124
"125","Jayden","Juarez","Weekly",491.421220433449,25553.9034625393,"Weekly",1274.92900735316,66296.3083823645,45402.1553363647,0,0,12,38,1,0,NA,125
"126","Daleel","Sisneros","Weekly",38.1353720419654,1983.0393461822,"Yearly",4163.06202675366,4163.06202675366,1333.39417240167,1,1,9,61,1,1,1,126
"127","Jessalyn","Bowles-Jacks","Yearly",40801.1585654958,40801.1585654958,"Weekly",427.162510554707,22212.4505488448,8884.74984343492,0,1,9,46,1,1,1,127
"128","Suzy","Krishnan","Monthly",2237.92639173137,26855.1167007764,"Yearly",27876.732455101,27876.732455101,8612.78443439021,1,0,13,58,1,1,NA,128
"129","Chuck","Littlefield","Weekly",2066.34332807453,107449.853059876,"Monthly",3045.86510507675,36550.381260921,14496.5899804373,1,0,9,56,1,1,1,129
"130","Uthmaa N","Carey","Weekly",297.308467402442,15460.040304927,"Yearly",22763.3476748888,22763.3476748888,21981.453820682,1,0,7,41,0,1,1,130
"131"," Huda","Hart","Weekly",433.539568123831,22544.0575424392,"Monthly",409.385015070779,4912.62018084935,486.831286512885,1,1,8,41,1,1,1,131
"132","Aaron","Soraoka","Yearly",12193.9404406736,12193.9404406736,"Weekly",70.1890337180262,3649.82975333736,1847.21418740144,1,NA,15,45,1,1,1,132
"133","Abdul Waahid","el-Salloum","Weekly",1626.35997351446,84570.7186227522,"Yearly",55282.6747208964,55282.6747208964,39197.2328588601,0,0,8,42,0,1,1,133
"134","Lortay","Lucero","Weekly",360.895775816059,18766.580342435,"Yearly",5670.84723768972,5670.84723768972,3255.21602534639,0,0,6,43,0,1,0,134
"135","Cole","Lopez","Yearly",33389.4368146718,33389.4368146718,"Weekly",726.033747201897,37753.7548544987,1375.47920291867,1,1,4,44,1,1,1,135
"136","Christopher","Lara-Ocon","Yearly",5095.56145349471,5095.56145349471,"Yearly",2649.1314934104,2649.1314934104,105.541564437449,1,0,4,33,1,1,1,136
"137","Rebekah","Roychowdhury","Yearly",7502.46177012622,7502.46177012622,"Weekly",33.8896431749954,1762.26144509976,259.815930430206,0,0,3,48,0,1,0,137
"138","Brylon","Harmon","Weekly",54.11332490749,2813.89289518948,"Weekly",45.7743935224379,2380.26846316677,18.6544463101432,0,0,7,44,1,1,0,138
"139","Skyeler","Julian-Ambrose","Weekly",577.313657826306,30020.3102069679,"Yearly",3411.68322685562,3411.68322685562,296.656228497475,NA,0,10,29,0,1,0,139
"140","Raquel","Hoffmann","Weekly",39.2556720042348,2041.29494422021,"Yearly",1480.15450105625,1480.15450105625,48.852679347523,0,0,8,43,1,1,1,140
"141","Ezana","el-Abdul","Yearly",5747.98805800408,5747.98805800408,"Yearly",2054.59625544013,2054.59625544013,69.432777388237,0,0,3,67,1,1,NA,141
"142","Rhiannon","Lor","Monthly",802.267265965653,9627.20719158784,"Yearly",20474.9202706197,20474.9202706197,3341.20778989014,1,0,8,42,1,1,NA,142
"143","Brian","Pinch","Monthly",272.673765334207,3272.08518401048,"Weekly",61.0822502655595,3176.27701380909,993.470500117645,NA,1,6,48,1,1,1,143
"144","Brandon","De Werd","Yearly",3785.4294240144,3785.4294240144,"Weekly",21.6961675711663,1128.20071370065,204.707522847035,0,1,8,48,1,0,NA,144
"145","Mariah","Hermanyhorses","Weekly",473.601161327866,24627.260389049,"Yearly",11430.3269604789,11430.3269604789,8660.48606414508,1,NA,12,18,1,1,1,145
"146","Abdul Baari","Cupples","Weekly",1162.09673885886,60429.0304206606,"Weekly",573.40022708432,29816.8118083846,4196.73778590698,0,0,12,56,1,1,1,146
"147","Katie","Trimmer","Yearly",7160.04481629665,7160.04481629665,"Yearly",1091.4051041344,1091.4051041344,131.168372287899,0,0,9,40,1,1,1,147
"148","Qaaida","Waddell","Yearly",13357.576554506,13357.576554506,"Weekly",465.848254909497,24224.1092552938,1984.39206621216,1,1,3,59,1,1,1,148
"149","Keyshawn","Hoffman","Yearly",10002.6551528527,10002.6551528527,"Yearly",6982.74166573167,6982.74166573167,545.881983741465,1,0,9,18,1,0,NA,149
"150","Tayyiba","Bailey","Weekly",476.831985595423,24795.263250962,"Weekly",92.584208869672,4814.37886122294,63.4414807315208,1,0,15,47,1,1,NA,150
"151","Mija","Ross","Weekly",1536.18980096734,79881.8696503014,"Monthly",5647.83974373442,67774.0769248131,54725.257651436,0,0,8,47,1,1,1,151
"152","Kelly","Yang","Weekly",1813.61540024561,94308.0008127717,"Weekly",188.487643800071,9801.35747760371,1401.87383813889,0,0,9,38,0,1,NA,152
"153","Tammaam","al-Mansour","Weekly",316.64329197915,16465.4511829158,"Yearly",5343.73914057391,5343.73914057391,1155.80460670698,0,0,7,39,0,1,NA,153
"154","Michelle","Edmonson","Weekly",455.327625788243,23677.0365409886,"Yearly",10401.6306756332,10401.6306756332,7604.11370405093,1,0,15,35,0,1,0,154
"155","Heather","Bertaud","Weekly",1475.02385601991,76701.2405130355,"Monthly",836.236879105356,10034.8425492643,9654.62266727081,1,0,8,60,0,1,1,155
"156","Andrew","Lopez","Yearly",17357.494410541,17357.494410541,"Yearly",12785.2762288187,12785.2762288187,532.215074420767,1,1,3,62,0,1,NA,156
"157","Kimberly","Nguyen","Yearly",15260.8266888405,15260.8266888405,"Weekly",191.064509473994,9935.3544926477,4960.87905586262,0,1,14,52,0,1,1,157
"158","Alexis","Anderson","Weekly",93.0703802769225,4839.65977439997,"Yearly",2838.74731626355,2838.74731626355,1030.26068966515,0,0,7,66,0,1,1,158
"159","Tatyana","Lang","Weekly",98.0107481730725,5096.55890499977,"Yearly",9251.07484076419,9251.07484076419,537.320618908767,NA,0,12,51,0,1,1,159
"160","Marley","Freeman","Yearly",4996.97028459932,4996.97028459932,"Monthly",192.279301622422,2307.35161946906,1899.42306106485,1,0,13,26,0,1,0,160
"161","Fidda","al-Tamer","Yearly",13523.0454090124,13523.0454090124,"Weekly",1360.44389294245,70743.0824330074,28883.9962487639,0,0,6,48,1,1,1,161
"162","Zachary","Charles","Weekly",903.376348956628,46975.5701457447,"Weekly",143.84773330816,7480.0821320243,6476.32118488941,1,0,11,50,1,1,NA,162
"163","Myles","Tatum","Weekly",719.93703265565,37436.7256980938,"Yearly",11408.889063937,11408.889063937,8081.44163270521,1,0,17,50,1,0,NA,163
"164","Shayne","Oster","Yearly",9330.22650911879,9330.22650911879,"Yearly",6842.13173650035,6842.13173650035,45.7842526019692,0,0,5,36,0,1,1,164
"165","Ryan","el-Darwish","Yearly",144519.920348195,144519.920348195,"Weekly",497.611124907119,25875.7784951702,23313.2318516358,0,0,9,44,0,1,NA,165
"166","Meng","Thompson","Weekly",1289.50340856988,67054.1772456336,"Yearly",44968.6678539817,44968.6678539817,19706.6772587957,0,0,12,49,0,1,NA,166
"167","Rafeeq","Bunge","Weekly",175.028464335493,9101.48014544565,"Yearly",3613.04674180989,3613.04674180989,269.233630011539,1,0,9,72,1,1,1,167
"168","Edward","Hustis","Weekly",588.853583615497,30620.3863480058,"Yearly",2298.5909618163,2298.5909618163,294.538735140419,0,1,12,37,1,1,1,168
"169","Tyson","Jones","Yearly",17224.6497654957,17224.6497654957,"Yearly",8610.70037570544,8610.70037570544,3310.13526031046,0,0,12,22,1,1,0,169
"170","Nathanael","Pham","Yearly",23474.5636038534,23474.5636038534,"Yearly",9517.08485140738,9517.08485140738,2298.91255524688,1,1,5,42,0,1,1,170
"171","Kelsi","Duncan","Yearly",89268.3255004145,89268.3255004145,"Weekly",1490.73823101762,77518.3880129164,16230.7230260985,1,1,10,43,0,1,NA,171
"172","James","Her","Yearly",5388.7823244084,5388.7823244084,"Yearly",8227.66767460429,8227.66767460429,6634.22932551111,0,0,6,38,1,1,1,172
