"","first_names","last_names","income_unit","income","annual_income","expense_unit","expense","annual_expense","annual_pet_expense","gained_pet","lost_pet","happiness","age_respondent","female_respondent","cats_n_dogs","is_dog_registered","case_id"
"18","Noah","el-Salim","Yearly",55894.6631261281,55894.6631261281,"Yearly",9181.3161592759,9181.3161592759,5281.79999149808,1,0,-12,50,1,1,NA,18
"19","Robert","Ruiz","Weekly",386.64134933974,20105.3501656665,"Yearly",4209.99831318584,4209.99831318584,429.082024739823,0,0,-7,30,0,2,NA,19
"20","Jaquay","Silas","Yearly",8067.76447274619,8067.76447274619,"Yearly",12741.7119556524,12741.7119556524,6364.63120743138,1,0,-9,36,1,0,1,20
"21","Shawqi","el-Elamin","Weekly",89.8876632073175,4674.15848678051,"Weekly",38.4245037205675,1998.07419346951,1858.024115588,1,0,-10,51,0,0,1,21
"22","Lars","al-Abdou","Weekly",656.959635914584,34161.9010675584,"Weekly",1491.69003208421,77567.881668379,9971.17653227824,1,0,-6,37,1,0,1,22
"23","Nashat","el-Nazar","Weekly",354.826242791927,18450.9646251802,"Yearly",10445.259708018,10445.259708018,175.962635353017,1,0,-11,46,1,2,0,23
"24","Rohan","Pinch","Weekly",900.819601885843,46842.6192980639,"Weekly",526.238823647064,27364.4188296473,17687.8231391026,0,1,-1,43,1,2,0,24
"25","Daniel","Martinez Mendoza","Yearly",106166.913250254,106166.913250254,"Weekly",1026.96500171358,53402.1800891064,13369.9558116216,0,0,-8,49,1,0,1,25
"26","Maighdeline","Hernandez","Weekly",693.361396758747,36054.7926314549,"Monthly",5160.54605528215,61926.5526633858,39871.7447386625,0,NA,-7,55,0,2,0,26
"27","Brooke","el-Mahmoud","Weekly",1814.50791253392,94354.4114517636,"Yearly",3200.20472618846,3200.20472618846,1076.77524509014,0,0,-4,66,0,0,1,27
"28","Kevin","Yellowhawk","Monthly",1105.99567793788,13271.9481352546,"Weekly",176.585291427756,9182.43515424333,368.42302070213,1,1,-6,37,0,1,0,28
"29","Margaret","Cravens","Yearly",9127.79132230813,9127.79132230813,"Weekly",57.4442459081465,2987.10078722362,469.259797751677,1,0,-8,38,0,0,1,29
"30","Kyle","el-Sadek","Weekly",348.951163947929,18145.4605252923,"Monthly",3044.70211184925,36536.425342191,33472.2437670374,1,0,-17,51,0,2,0,30
"31","Christopher","Vigil","Monthly",2237.81566862583,26853.7880235099,"Yearly",21040.8747202366,21040.8747202366,16069.0068230349,1,0,-9,60,1,2,NA,31
"32","Michael","Valenzuela","Yearly",6057.15068648362,6057.15068648362,"Weekly",212.711354230469,11060.9904199844,7181.94277579113,0,NA,-5,35,0,2,0,32
"33","Nicholas","Kent","Yearly",88803.1069708635,88803.1069708635,"Weekly",2693.32824842226,140053.068917958,15186.8959949859,1,0,-14,36,1,0,1,33
"34","Chloe","Xue","Weekly",1200.97231274621,62450.5602628027,"Yearly",42554.7637460761,42554.7637460761,5358.92921435738,0,0,-9,44,1,0,1,34
"35","Mubarak","Bustos-Luevano","Yearly",820.609608068025,820.609608068025,"Weekly",2.24821063501475,116.906953020767,20.740539362926,1,0,-8,42,1,2,NA,35
"36","Marcia","Martinez","Yearly",21595.9054783283,21595.9054783283,"Yearly",3683.78186936999,3683.78186936999,1572.45505103216,0,0,-4,51,0,0,1,36
"37","Jessica","al-Abbasi","Yearly",80443.0432831571,80443.0432831571,"Weekly",3269.99845011407,170039.919405932,58133.5205132229,0,1,-11,47,1,0,1,37
"38","Lauren","Kulanko","Yearly",22503.0224755932,22503.0224755932,"Weekly",31.045185334801,1614.34963740965,44.402916874124,1,1,-5,35,1,0,1,38
"39","Andy","Romero","Weekly",122.193948989726,6354.08534746576,"Weekly",123.99936413433,6447.96693498516,277.033092483804,1,1,-7,54,0,0,1,39
"40","Yune","Sotelo Duarte","Weekly",470.085746701894,24444.4588284985,"Monthly",2593.33590251081,31120.0308301297,15221.2328663093,1,0,-11,41,0,1,0,40
"41","Quinn","al-Shahidi","Weekly",835.583663494958,43450.3505017378,"Weekly",339.754768477263,17667.2479608177,303.271629113042,NA,0,-5,32,1,2,0,41
"42","Vy","Mcgowan","Weekly",173.526081391516,9023.35623235885,"Weekly",143.501469886902,7462.07643411891,5643.72005901815,0,0,-5,56,1,1,NA,42
"43","Eric","el-Daoud","Weekly",394.873381493047,20533.4158376385,"Yearly",47289.9804413534,47289.9804413534,31234.3788596368,0,0,-9,42,1,2,NA,43
"44","Donovan","Kentris","Weekly",236.737463754128,12310.3481152147,"Yearly",9522.70127801471,9522.70127801471,247.016939745743,1,0,-10,35,0,0,1,44
"45","Auriel","Luna Torres","Yearly",18687.3573166543,18687.3573166543,"Yearly",31650.1807250736,31650.1807250736,2076.80341963593,1,0,-10,28,0,0,1,45
"46","Richard","James","Yearly",17122.6469709437,17122.6469709437,"Yearly",22584.809155741,22584.809155741,324.365615061951,0,0,-11,28,1,2,0,46
"47","Nikko","Lovett","Yearly",30061.9644749012,30061.9644749012,"Weekly",223.150016423122,11603.8008540023,782.963065032985,1,0,-5,46,1,1,NA,47
"48","Veronica","el-Rais","Weekly",185.984990651717,9671.21951388928,"Yearly",6287.77202137863,6287.77202137863,5157.68618442074,1,0,-12,53,1,0,1,48
"49","Kia","Leinen","Yearly",3840.59202350746,3840.59202350746,"Weekly",8.80984725580523,458.112057301872,99.13222651252,0,0,-8,63,0,0,1,49
"50","Shaimaaa","Page","Weekly",902.364167027139,46922.9366854112,"Weekly",517.398272968091,26904.7101943407,1212.07546740353,1,0,-5,40,0,0,1,50
"51","Faraj","Burciaga","Monthly",2345.93521955753,28151.2226346904,"Yearly",2180.21947792278,2180.21947792278,1001.45642583404,0,0,-6,45,1,0,1,51
"52","Emily","King","Yearly",25173.832121101,25173.832121101,"Monthly",706.820627942513,8481.84753531016,16.8494124132195,1,0,-10,37,1,1,0,52
"53","Steven","Tafoya","Weekly",139.403332743403,7248.97330265695,"Weekly",45.2743141732721,2354.26433701015,88.4794319922988,1,0,-18,31,0,0,1,53
"54","Mathew","Underwood","Yearly",26662.2591577147,26662.2591577147,"Yearly",8456.33613336493,8456.33613336493,490.78481837448,0,1,-6,39,0,2,0,54
"55","Christian","Coleman","Yearly",153347.052729549,153347.052729549,"Yearly",68791.3547948687,68791.3547948687,1826.97636006119,0,0,-5,62,1,0,1,55
"56","Husaam","Belvill","Yearly",8123.61661898582,8123.61661898582,"Weekly",89.676593742372,4663.18287460335,1720.75512638434,0,0,-7,45,0,0,1,56
"57","Devin","al-Latif","Yearly",10804.1229742804,10804.1229742804,"Weekly",66.1183730105394,3438.15539654805,406.948154429657,1,0,-11,36,0,2,NA,57
"58","Laura","Thomson","Weekly",222.073807617675,11547.8379961191,"Yearly",7134.44494935803,7134.44494935803,806.691724517699,1,0,-14,50,0,1,NA,58
"59","Sierra","Arechiga","Weekly",661.698675378645,34408.3311196895,"Yearly",24047.6793363752,24047.6793363752,1364.94394715371,0,0,-7,36,1,0,1,59
"60","Ya'qoob","Klimek","Yearly",41104.9561882908,41104.9561882908,"Weekly",309.162615638166,16076.4560131846,1141.64840274001,0,0,-5,46,1,0,1,60
"61","Farhaana","Enriquez","Weekly",42.6780466520781,2219.25842590806,"Weekly",68.3094100580734,3552.08932301982,738.765808306029,0,1,-8,55,1,2,0,61
"62","Ryan","el-Rabbani","Yearly",16220.3036757167,16220.3036757167,"Yearly",18931.4443601745,18931.4443601745,12036.9296447911,0,0,-8,47,0,2,NA,62
"63","Haala","el-Azad","Yearly",15650.471129123,15650.471129123,"Weekly",180.935022197261,9408.62115425757,633.161510795385,0,0,-3,43,1,0,1,63
"64","Donovan","Miller","Yearly",91109.3640783334,91109.3640783334,"Weekly",566.166712743528,29440.6690626635,22226.2604581622,NA,1,-8,39,1,2,NA,64
"65","Dakota","Zoesch","Monthly",10526.2390564327,126314.868677193,"Yearly",73827.6718675302,73827.6718675302,13403.8816721985,1,0,-11,44,0,2,NA,65
"66","Ashley","al-Abdelrahman","Weekly",477.150272060804,24811.8141471618,"Weekly",253.496974202234,13181.8426585162,9627.81775015187,1,0,-10,45,0,2,NA,66
"67","Andrea","Porterfield","Monthly",2016.32778342125,24195.933401055,"Weekly",96.9248064923984,5040.08993760472,1781.17887347088,1,0,-11,46,1,1,NA,67
"68","Hysendra","Calderon","Yearly",32905.3443955649,32905.3443955649,"Yearly",13311.5801632497,13311.5801632497,1589.3704682385,1,NA,-10,48,0,0,1,68
"69","Anna","Pak","Weekly",1312.74778409835,68262.8847731142,"Weekly",1140.06687309846,59283.4774011201,3833.34013426105,0,0,-5,57,1,0,1,69
"70","Jakarah","Spensieri","Weekly",118.444887421428,6159.13414591425,"Yearly",2402.76142172726,2402.76142172726,273.068018297727,0,0,-8,51,0,0,1,70
"71","Naseer","Prophet","Weekly",115.116744070147,5986.07069164762,"Weekly",37.5351168195093,1951.82607461448,893.167686828151,1,0,-13,41,0,2,NA,71
"72","Michael","Brunson","Weekly",432.554646720894,22492.8416294865,"Weekly",376.672028582256,19586.9454862773,15401.6546622623,0,0,-10,48,1,0,1,72
"73","Daawood","el-Elamin","Weekly",694.069567176392,36091.6174931724,"Weekly",406.072376411585,21115.7635734024,12192.5994503661,1,0,-8,30,1,2,NA,73
"74","Antonio","Rael","Yearly",39960.5949549807,39960.5949549807,"Weekly",346.226629691492,18003.7847439576,12296.1244828397,1,1,-6,47,1,2,NA,74
"75","Zachary","Nguyen","Yearly",22435.2184506247,22435.2184506247,"Weekly",292.019416407553,15185.0096531928,9653.83086120298,1,1,-5,56,0,2,NA,75
"76","Cheno","Gardner","Weekly",467.283607295279,24298.7475793545,"Weekly",466.037421297,24233.945907444,2720.81008608812,1,1,-13,33,1,0,1,76
"77","Arshad","Perea","Weekly",68.1915542174708,3545.96081930848,"Weekly",104.40036684368,5428.81907587134,4076.87347188465,0,0,-6,43,0,2,NA,77
"78","Tiffine","Savage","Yearly",9294.96322040658,9294.96322040658,"Yearly",3894.27056096368,3894.27056096368,1903.15154167203,1,0,-13,43,0,2,0,78
"79","Adeeba","Nava","Yearly",62661.8950571705,62661.8950571705,"Monthly",5095.85335455569,61150.2402546683,8690.09361904782,1,0,-11,50,1,2,NA,79
"80","Bryana","Smith","Weekly",319.588832395286,16618.6192845549,"Weekly",346.846558374403,18036.021035469,6256.70609295398,1,0,-8,56,0,1,0,80
"81","Jonathan","Culpepper","Yearly",41944.073797789,41944.073797789,"Yearly",7174.7882208603,7174.7882208603,972.298371831443,0,0,-9,40,1,0,1,81
"82","Hissa","Perry","Yearly",34995.3199374368,34995.3199374368,"Yearly",10263.5998665494,10263.5998665494,6874.1985565271,0,0,-13,37,0,2,0,82
"83","Robert","Olguin","Yearly",7456.82963111025,7456.82963111025,"Weekly",14.3945733763025,748.517815567731,73.4161908705685,NA,0,-4,46,0,0,1,83
"84","Prettyboy","Espinosa","Weekly",101.537893621831,5279.97046833523,"Yearly",3434.36572744184,3434.36572744184,558.452562641101,1,1,-6,38,1,2,NA,84
"85","Marco","el-Jafri","Weekly",354.100415218193,18413.221591346,"Weekly",212.929367368457,11072.3271031597,970.899583047731,0,0,-13,46,1,1,NA,85
"86","Alexandra","el-Saade","Weekly",955.949674501474,49709.3830740766,"Weekly",19.1120938277038,993.8288790406,106.264162600901,1,0,-11,34,1,0,1,86
"87","Travion","Lor","Yearly",22586.2256824443,22586.2256824443,"Yearly",8388.88332969974,8388.88332969974,7644.20791421133,1,0,-12,43,1,1,0,87
"88","Aaron","Serrano","Weekly",1661.98135521152,86423.0304709988,"Weekly",850.837746730128,44243.5628299667,5671.36912328129,1,1,-6,39,1,0,1,88
"89","Anupama","Bailey","Weekly",688.440941753741,35798.9289711945,"Weekly",168.497305696818,8761.85989623451,56.1491009681434,0,0,-10,23,0,0,1,89
"90","Sara","Joe","Yearly",13471.1186484361,13471.1186484361,"Monthly",150.392392052066,1804.70870462479,160.656722174946,1,0,-14,39,1,2,NA,90
"91","Luis","Valadez","Yearly",10561.1768632534,10561.1768632534,"Yearly",12241.7958163851,12241.7958163851,6773.58544570528,0,0,-11,50,1,0,1,91
"92","Jameel","Begay","Weekly",315.744459680529,16418.7119033875,"Yearly",24300.6387760026,24300.6387760026,6648.15993465268,1,0,-10,35,1,2,NA,92
"93","Amara","Badsky","Weekly",78.685688731401,4091.65581403285,"Yearly",3996.31324112257,3996.31324112257,2381.42653225349,1,1,-5,37,1,0,1,93
"94","Matthew","Anderson","Yearly",62614.6155154666,62614.6155154666,"Yearly",3531.02830339861,3531.02830339861,1588.82989038665,0,0,-4,58,0,0,1,94
"95","Joseph","Haskell","Yearly",12705.3064173093,12705.3064173093,"Weekly",287.932580108367,14972.4941656351,8125.62320833878,1,0,-12,60,1,1,NA,95
"96","Zuhair","Molitor","Weekly",893.946406010969,46485.2131125704,"Weekly",224.342353128252,11665.8023626691,3265.6904961839,0,0,-10,46,1,0,1,96
"97","Thomas","Hubbart Jr","Weekly",1000.64771649388,52033.6812576818,"Weekly",1733.67352350015,90151.0232220077,76940.537524949,0,0,-7,50,1,2,NA,97
"98","Abdul Fattaah","Trujillo","Weekly",504.534921686813,26235.8159277143,"Yearly",30672.8715057167,30672.8715057167,3747.4483323999,1,0,-16,40,1,2,0,98
"99","Christian","Siekman","Weekly",145.501207880081,7566.06280976421,"Monthly",45.2915440624316,543.49852874918,422.721542565112,1,0,-11,60,0,0,1,99
"100","Muneef","Rodriguez","Weekly",265.655816019958,13814.1024330378,"Yearly",12818.7406719245,12818.7406719245,12118.0535649082,0,1,-6,36,1,1,NA,100
"101","Frederico","Williams","Yearly",10519.2470347219,10519.2470347219,"Yearly",30462.0350173187,30462.0350173187,11734.3158495599,1,1,-7,43,1,0,1,101
"102","Ryan","Pineau","Yearly",9620.50828723827,9620.50828723827,"Monthly",844.060616326441,10128.7273959173,7371.55257054264,0,0,-9,42,0,2,NA,102
"103","Alexis","Lee","Weekly",285.532085323555,14847.6684368249,"Yearly",8835.69132567234,8835.69132567234,5377.26805397382,0,0,-7,48,1,1,0,103
"104","Isaac","Shoeboot","Yearly",15999.2807197496,15999.2807197496,"Yearly",2575.13083637272,2575.13083637272,1095.93207126351,0,0,-14,62,1,1,NA,104
"105","Wajdi","Kierstead","Weekly",325.904177097615,16947.017209076,"Yearly",18129.1345374176,18129.1345374176,4844.61263379245,1,0,-8,49,0,0,1,105
"106","Courtney","Deck","Yearly",17933.6871204536,17933.6871204536,"Weekly",99.7506666216412,5187.03466432534,3032.02635596931,1,0,-11,38,1,0,1,106
"107","Eamonn","Castillo","Weekly",3080.79691689992,160201.439678796,"Yearly",82419.406639409,82419.406639409,22816.8535310745,NA,0,-9,34,0,0,1,107
"108","Alexia","Molock","Yearly",39819.1661963627,39819.1661963627,"Weekly",67.1350569697899,3491.02296242908,232.798172931888,1,1,-12,56,1,2,NA,108
"109","Kennon","Solano","Weekly",1150.09955310738,207863.24,"Yearly",6395.35919989688,6395.35919989688,927.826147711901,0,0,-8,57,0,0,1,109
"110","Christina","Tomlin","Yearly",9021.91254989406,9021.91254989406,"Monthly",629.106447982354,7549.27737578825,1800.94634118298,0,0,-13,68,1,0,1,110
"111","Molly","Samake","Weekly",2052.36340129568,106722.896867375,"Weekly",378.707059151692,19692.767075888,14892.1696642858,0,0,-3,49,1,0,1,111
"112","Naseema","Davis","Yearly",762028.792017318,762028.792017318,"Weekly",5477.57827613607,284834.070359076,67122.6948805577,NA,NA,-10,44,1,0,1,112
"113","Mahfoodha","el-Sham","Weekly",115.796296637864,6021.40742516891,"Weekly",438.385897438503,22796.0666668021,12216.5591858141,1,0,-13,43,0,2,NA,113
"114","Shalynn","Gilbert","Weekly",2706.15139674239,140719.872630604,"Weekly",933.770946396855,48556.0892126365,38237.3563035117,0,0,-4,39,0,2,NA,114
"115","Raeven","Roybal","Weekly",211.055774969594,10974.9002984189,"Yearly",18072.0593458191,18072.0593458191,6488.09769855548,0,0,-5,52,0,1,0,115
"116","Indigo","Dupree","Weekly",604.284654031886,31422.8020096581,"Yearly",6931.39032842565,6931.39032842565,1645.29731648351,NA,0,-13,36,1,0,1,116
"117","Christopher","Swenson","Monthly",2571.77552334189,30861.3062801027,"Weekly",79.9085345232698,4155.24379521003,559.702069771674,1,NA,-14,43,1,2,NA,117
"118","Kenya","Bieser","Weekly",456.071054628295,23715.6948406713,"Weekly",175.979110821685,9150.91376272765,2265.97685284001,0,1,-6,23,1,2,0,118
"119","Matthew","Olguin","Yearly",21759.1366263898,21759.1366263898,"Yearly",43213.3223058504,43213.3223058504,28530.3394127768,1,0,-10,35,0,0,1,119
"120","Jalhon","Smith","Monthly",1480.88028110791,17770.5633732949,"Weekly",77.550194985537,4032.61013924792,43.6515458212049,1,0,-13,26,0,2,0,120
"121","Aaron","Nguyen","Monthly",648.960906641311,7787.53087969573,"Weekly",69.8519963153767,3632.30380839959,175.533536522361,0,1,-6,46,1,2,NA,121
"122","Blake","Aldaz Holguin","Yearly",5226.38076618957,5226.38076618957,"Weekly",164.034439791166,8529.79086914061,1266.30736174584,0,0,-3,50,1,0,1,122
"123","Mahbooba","Shin","Yearly",5179.27859523265,5179.27859523265,"Yearly",1324.21594584235,1324.21594584235,361.269899530674,0,0,-6,45,1,2,NA,123
"124","Kyla","Merritt","Monthly",3300.30784709732,39603.6941651678,"Weekly",270.14362283923,14047.46838764,7452.04965582967,1,0,-11,46,0,2,NA,124
"125","Jayden","Juarez","Yearly",44816.8246677408,44816.8246677408,"Weekly",1590.94266270233,82729.0184605213,20787.6109140381,1,1,-6,38,1,2,0,125
"126","Daleel","Sisneros","Yearly",3813.241940354,3813.241940354,"Yearly",1247.35033134791,1247.35033134791,1109.1416995369,0,0,-5,61,1,2,NA,126
"127","Jessalyn","Bowles-Jacks","Yearly",32277.9028011605,32277.9028011605,"Weekly",449.486341041992,23373.2897341836,3155.95289930904,0,0,-9,46,1,2,NA,127
"128","Suzy","Krishnan","Yearly",49811.4610952039,49811.4610952039,"Weekly",778.030353786782,40457.5783969126,8667.53435101836,0,0,-10,58,1,2,0,128
"129","Chuck","Littlefield","Yearly",50448.364652218,50448.364652218,"Yearly",130063.799909976,130063.799909976,86487.0117427449,1,0,-9,56,1,2,0,129
"130","Uthmaa N","Carey","Weekly",283.463022323354,14740.0771608144,"Weekly",397.272140584389,20658.1513103882,818.392913950035,1,0,-4,41,0,1,NA,130
"131"," Huda","Hart","Weekly",374.962435575219,19498.0466499114,"Weekly",340.333603502283,17697.3473821187,4337.02974002891,1,NA,-13,41,1,2,0,131
"132","Aaron","Soraoka","Yearly",92391.2638322033,92391.2638322033,"Weekly",240.700738577369,12516.4384060232,4695.18165586229,0,NA,-16,45,1,1,NA,132
"133","Abdul Waahid","el-Salloum","Yearly",64975.3282889711,64975.3282889711,"Weekly",888.159000134213,46184.2680069791,1272.62974625451,0,0,-12,42,0,2,NA,133
"134","Lortay","Lucero","Weekly",213.627441799854,11108.6269735924,"Yearly",3562.58036695035,3562.58036695035,2976.84112252852,1,0,-5,43,0,0,1,134
"135","Cole","Lopez","Yearly",45553.209004737,45553.209004737,"Yearly",60577.876286395,60577.876286395,48585.5727608397,0,0,-8,44,1,2,0,135
"136","Christopher","Lara-Ocon","Yearly",4906.81888546599,4906.81888546599,"Yearly",5874.3452240054,5874.3452240054,170.295815856049,1,0,-10,33,1,2,NA,136
"137","Rebekah","Roychowdhury","Yearly",4267.08765427637,4267.08765427637,"Weekly",93.3187584538702,4852.57543960125,3288.62789466234,1,0,-10,48,0,2,NA,137
"138","Brylon","Harmon","Yearly",3320.95894303503,3320.95894303503,"Weekly",26.0390590878333,1354.03107256733,804.786528721427,0,1,-10,44,1,2,NA,138
"139","Skyeler","Julian-Ambrose","Yearly",14170.0744349366,14170.0744349366,"Yearly",3323.42744654779,3323.42744654779,2177.41594288218,1,0,-15,29,0,0,1,139
"140","Raquel","Hoffmann","Yearly",2569.26728450198,2569.26728450198,"Yearly",1002.33827886451,1002.33827886451,64.3067955517974,0,0,-10,43,1,0,1,140
"141","Ezana","el-Abdul","Weekly",147.529764417436,7671.54774970665,"Weekly",279.306397303616,14523.932659788,7114.89570166351,1,NA,-11,67,1,2,NA,141
"142","Rhiannon","Lor","Yearly",5498.99280849264,5498.99280849264,"Weekly",351.794015391272,18293.2888003462,7117.96566064595,0,0,-2,42,1,2,NA,142
"143","Brian","Pinch","Weekly",63.2785917561475,3290.48677131967,"Monthly",109.10780420094,1309.29365041128,550.266663738904,1,1,-2,48,1,1,0,143
"144","Brandon","De Werd","Yearly",2815.89951293715,2815.89951293715,"Weekly",31.8087999241044,1654.05759605343,1030.69201504706,0,0,-3,48,1,0,1,144
"145","Mariah","Hermanyhorses","Weekly",587.761201138152,30563.5824591839,"Yearly",34634.6066700534,34634.6066700534,7994.8093536686,1,0,-17,18,1,2,NA,145
"146","Abdul Baari","Cupples","Weekly",1155.14783632684,60067.6874889956,"Yearly",16092.9292454689,16092.9292454689,931.537609620029,1,1,-8,56,1,2,0,146
"147","Katie","Trimmer","Weekly",151.195807945478,7862.18201316486,"Yearly",2129.63790755332,2129.63790755332,79.0400857164359,1,0,-7,40,1,2,NA,147
"148","Qaaida","Waddell","Yearly",18170.1108176555,18170.1108176555,"Weekly",557.742709749101,29002.6209069533,5406.03484586205,1,0,-7,59,1,1,0,148
"149","Keyshawn","Hoffman","Yearly",14434.8548406509,14434.8548406509,"Weekly",150.496981063017,7825.84301527686,4359.96348347117,1,0,-12,18,1,2,NA,149
"150","Tayyiba","Bailey","Weekly",254.791239028768,13249.1444294959,"Weekly",108.955113910846,5665.66592336398,176.76367481506,1,0,-6,47,1,0,1,150
"151","Mija","Ross","Weekly",3918.24787583144,203748.889543235,"Weekly",2274.18562160233,118257.652323321,7726.15695240415,0,0,-10,47,1,2,NA,151
"152","Kelly","Yang","Weekly",706.957436033605,36761.7866737475,"Weekly",77.8401491959654,4047.6877581902,2253.90073721706,1,NA,-8,38,0,0,1,152
"153","Tammaam","al-Mansour","Monthly",942.954920975046,11315.4590517005,"Monthly",523.156296990102,6277.87556388122,4391.25489652813,0,0,-9,39,0,0,1,153
"154","Michelle","Edmonson","Weekly",379.792656084442,19749.218116391,"Yearly",25204.200479914,25204.200479914,18555.6743803629,1,0,-9,35,0,0,1,154
"155","Heather","Bertaud","Weekly",367.756064946651,19123.3153772259,"Weekly",384.944209283792,20017.0988827572,3941.55767989192,1,1,-5,60,0,0,1,155
"156","Andrew","Lopez","Monthly",1241.47756372326,14897.7307646791,"Yearly",8319.13493127384,8319.13493127384,2206.03151118006,0,1,-8,62,0,2,0,156
"157","Kimberly","Nguyen","Yearly",68066.0120599897,68066.0120599897,"Monthly",1995.70995466011,23948.5194559213,8903.81753013067,1,0,-8,52,0,2,NA,157
"158","Alexis","Anderson","Weekly",74.8299599141995,3891.15791553837,"Weekly",53.1872151539072,2765.73518800317,88.5748832524636,NA,0,-9,66,0,0,1,158
"159","Tatyana","Lang","Weekly",266.750598414542,13871.0311175562,"Yearly",9753.47298538752,9753.47298538752,5209.60769842401,1,NA,-9,51,0,2,NA,159
"160","Marley","Freeman","Monthly",716.308292714711,8595.69951257653,"Monthly",114.776421192068,1377.31705430481,1377.31705430481,1,NA,-8,26,0,0,1,160
"161","Fidda","al-Tamer","Yearly",17845.2416732992,17845.2416732992,"Monthly",855.217686915856,10262.6122429903,2043.38935780161,0,1,-12,48,1,2,NA,161
"162","Zachary","Charles","Weekly",286.861127471739,14916.7786285304,"Yearly",16303.1274816985,16303.1274816985,12087.3589166307,1,0,-6,50,1,0,1,162
"163","Myles","Tatum","Weekly",4895.33961026583,254557.659733823,"Weekly",186.39350954959,9692.46249657867,926.124376200017,0,0,-14,50,1,2,0,163
"164","Shayne","Oster","Monthly",788.898351260517,9466.78021512621,"Yearly",8551.61660433633,8551.61660433633,5116.94218156655,0,0,-8,36,0,1,0,164
"165","Ryan","el-Darwish","Weekly",705.108870626594,36665.6612725829,"Yearly",42724.2637774197,42724.2637774197,39691.1448055483,1,1,-7,44,0,2,NA,165
"166","Meng","Thompson","Weekly",642.577710105927,33414.0409255082,"Weekly",2195.44040299006,114162.900955483,12606.342661098,1,NA,-12,49,0,0,1,166
"167","Rafeeq","Bunge","Monthly",684.468155835905,8213.61787003086,"Yearly",3731.57159745437,3731.57159745437,644.387905310508,0,0,-7,72,1,2,NA,167
"168","Edward","Hustis","Yearly",27924.9107862076,27924.9107862076,"Yearly",3019.22428773297,3019.22428773297,342.60460536748,0,0,-16,37,1,0,1,168
"169","Tyson","Jones","Yearly",10892.4164726302,10892.4164726302,"Weekly",291.21498089104,15143.1790063341,569.948156472147,0,0,-8,22,1,0,1,169
"170","Nathanael","Pham","Weekly",165.133471270399,8586.94050606076,"Monthly",598.55617609351,7182.67411312212,773.502865750727,1,0,-10,42,0,0,1,170
