"","first_names","last_names","income_unit","income","annual_income","expense_unit","expense","annual_expense","annual_pet_expense","gained_pet","lost_pet","happiness","age_respondent","sex","cats_n_dogs","dog_register","case_id"
"17","Deirdra","Reynolds","Yearly",40711.3790738901,40711.3790738901,"Yearly",16356.5875865551,16356.5875865551,8271.86304033315,0,0,11,51,0,1,1,17
"18","Noah","el-Salim","Weekly",1117.10072647297,58089.2377765943,"Yearly",6716.18166190612,6716.18166190612,3617.13980698075,0,0,12,50,1,1,1,18
"19","Robert","Ruiz","Weekly",457.505683175007,23790.2955251004,"Yearly",7230.03799014433,7230.03799014433,68.759711845446,NA,0,7,30,0,1,NA,19
"20","Jaquay","Silas","Weekly",902.148190097167,46911.7058850527,"Yearly",5450.95882384311,5450.95882384311,210.920590941135,NA,1,5,36,1,1,0,20
"21","Shawqi","el-Elamin","Weekly",274.344374849572,14265.9074921777,"Yearly",1379.64332418161,1379.64332418161,551.164714441091,0,1,7,51,0,1,NA,21
"22","Lars","al-Abdou","Monthly",5611.46398715631,67337.5678458757,"Weekly",2545.35132821988,132358.269067434,55810.6968408268,1,0,9,37,1,1,1,22
"23","Nashat","el-Nazar","Yearly",14249.7424384717,14249.7424384717,"Yearly",11242.0757330621,11242.0757330621,2112.75506567574,1,0,11,46,1,1,1,23
"24","Rohan","Pinch","Weekly",777.517958795713,40430.9338573771,"Yearly",23728.0359532281,23728.0359532281,1789.18719484435,NA,0,7,43,1,1,1,24
"25","Daniel","Martinez Mendoza","Yearly",58575.5898948183,58575.5898948183,"Weekly",607.414014537057,31585.5287559269,3511.41701303543,1,0,14,49,1,1,NA,25
"26","Maighdeline","Hernandez","Yearly",126007.550393247,126007.550393247,"Yearly",42690.6004482672,42690.6004482672,24166.7178523232,NA,0,8,55,0,1,NA,26
"27","Brooke","el-Mahmoud","Weekly",1402.52384495366,72931.2399375902,"Weekly",124.206009732498,6458.71250608989,4520.40936756832,NA,1,8,66,0,1,1,27
"28","Kevin","Yellowhawk","Monthly",991.574010273512,11898.8881232821,"Weekly",187.162343138052,9732.44184317872,795.869160438627,1,1,4,37,0,0,NA,28
"29","Margaret","Cravens","Yearly",14342.3702611663,14342.3702611663,"Weekly",222.991657477544,11595.5661888323,843.812791446219,NA,0,7,38,0,1,0,29
"30","Kyle","el-Sadek","Weekly",1104.87073595555,57453.2782696888,"Yearly",29548.12655972,29548.12655972,3128.75841959005,1,0,16,51,0,1,0,30
"31","Christopher","Vigil","Weekly",921.840768349957,47935.7199541978,"Yearly",41298.5741558523,41298.5741558523,2884.15879363171,NA,0,5,60,1,1,1,31
"32","Michael","Valenzuela","Monthly",1243.544120468,14922.529445616,"Yearly",13100.8277651984,13100.8277651984,2033.61718945324,NA,0,6,35,0,1,1,32
"33","Nicholas","Kent","Weekly",1237.30017716391,64339.6092125234,"Yearly",67243.5311812014,67243.5311812014,4725.50222471392,0,0,16,36,1,0,NA,33
"34","Chloe","Xue","Yearly",93666.9610190175,93666.9610190175,"Monthly",2576.11420076543,30913.3704091852,15383.2697195226,NA,0,7,44,1,0,NA,34
"35","Mubarak","Bustos-Luevano","Yearly",595.163360407964,595.163360407964,"Yearly",117.444870619691,117.444870619691,17.1185338755405,0,1,11,42,1,1,NA,35
"36","Marcia","Martinez","Yearly",11652.144052783,11652.144052783,"Weekly",112.443889072881,5847.08223178981,3482.00545509203,0,0,3,51,0,1,0,36
"37","Jessica","al-Abbasi","Weekly",1585.29191229547,82435.1794393644,"Weekly",2158.28268688192,112230.69971786,81966.4314729034,NA,0,9,47,1,1,0,37
"38","Lauren","Kulanko","Weekly",266.482498583899,13857.0899263627,"Yearly",4105.49901327062,4105.49901327062,2465.58283111976,0,0,9,35,1,1,0,38
"39","Andy","Romero","Weekly",134.966904677191,7018.27904321393,"Yearly",6952.86038836333,6952.86038836333,3138.00488794503,1,0,8,54,0,1,0,39
"40","Yune","Sotelo Duarte","Weekly",300.767278895124,15639.8985025464,"Yearly",8078.72738418353,8078.72738418353,1665.19302726514,0,0,6,41,0,1,0,40
"41","Quinn","al-Shahidi","Weekly",659.602960612891,34299.3539518704,"Yearly",25927.9466877389,25927.9466877389,2644.35133909168,1,0,14,32,1,1,1,41
"42","Vy","Mcgowan","Weekly",222.651892175784,11577.8983931408,"Monthly",188.199350861196,2258.39221033436,496.941761982349,0,0,13,56,1,1,1,42
"43","Eric","el-Daoud","Weekly",797.604105228518,41475.4134718829,"Yearly",25658.0966965584,25658.0966965584,2500.81210880239,NA,1,6,42,1,1,1,43
"44","Donovan","Kentris","Weekly",260.306103725841,13535.9173937437,"Yearly",10014.1225544468,10014.1225544468,587.251759553617,NA,0,6,35,0,1,1,44
"45","Auriel","Luna Torres","Weekly",395.235297306822,20552.2354599548,"Yearly",19950.7152023647,19950.7152023647,2458.04421354098,1,0,12,28,0,1,NA,45
"46","Richard","James","Yearly",20319.9452195503,20319.9452195503,"Weekly",318.133035267077,16542.917833888,162.56272317489,0,0,7,28,1,1,0,46
"47","Nikko","Lovett","Monthly",1528.12506771029,18337.5008125235,"Yearly",37238.3758043267,37238.3758043267,27492.1807086723,1,0,6,46,1,0,NA,47
"48","Veronica","el-Rais","Weekly",152.438882189745,7926.82187386672,"Weekly",39.0901114109419,2032.68579336898,283.527801316622,1,1,8,53,1,1,1,48
"49","Kia","Leinen","Weekly",19.2850904270451,1002.82470220635,"Monthly",78.532565912886,942.390790954632,38.7169599675158,NA,0,6,63,0,1,1,49
"50","Shaimaaa","Page","Weekly",1486.82751621548,77315.030843205,"Monthly",1870.14798988588,22441.7758786306,5557.14284514919,0,1,10,40,0,1,1,50
"51","Faraj","Burciaga","Weekly",337.014864275605,17524.7729423315,"Weekly",49.3766263831218,2567.58457192234,46.2326086735117,1,0,8,45,1,1,NA,51
"52","Emily","King","Yearly",7477.56373382521,7477.56373382521,"Yearly",3395.19180247037,3395.19180247037,1026.90408530761,NA,0,8,37,1,1,1,52
"53","Steven","Tafoya","Yearly",8155.34785156688,8155.34785156688,"Yearly",1918.39037773885,1918.39037773885,194.294262016268,NA,0,8,31,0,1,1,53
"54","Mathew","Underwood","Weekly",977.855044696927,50848.4623242402,"Yearly",7273.5039541951,7273.5039541951,1873.86612596307,0,0,8,39,0,1,NA,54
"55","Christian","Coleman","Yearly",46964.812528261,46964.812528261,"Monthly",1972.40248000815,23668.8297600978,15180.7247075305,1,1,9,62,1,1,1,55
"56","Husaam","Belvill","Weekly",95.1707809488588,4948.88060934066,"Weekly",90.9612675332518,4729.9859117291,206.803103376231,1,0,11,45,0,0,NA,56
"57","Devin","al-Latif","Weekly",291.699856503949,15168.3925382053,"Weekly",41.89943393867,2178.77056481084,769.689910305034,0,0,9,36,0,1,1,57
"58","Laura","Thomson","Weekly",474.582507635522,24678.2903970471,"Yearly",2435.82446624686,2435.82446624686,1548.94692287445,1,0,20,50,0,1,NA,58
"59","Sierra","Arechiga","Weekly",1046.4060153555,54413.112798486,"Weekly",370.479743769945,19264.9466760371,5309.90730954368,1,0,10,36,1,1,1,59
"60","Ya'qoob","Klimek","Monthly",16668.6036586725,200023.24390407,"Weekly",712.546840623949,37052.4357124453,20950.5885656079,0,0,6,46,1,1,1,60
"61","Farhaana","Enriquez","Monthly",448.136114913256,5377.63337895907,"Weekly",135.356976040151,7038.56275408786,3726.6316078967,0,0,10,55,1,1,NA,61
"62","Ryan","el-Rabbani","Weekly",852.083714489486,44308.3531534533,"Yearly",12645.414315489,12645.414315489,163.239666956709,1,0,7,47,0,1,0,62
"63","Haala","el-Azad","Yearly",11870.7884833012,11870.7884833012,"Weekly",155.673600478784,8095.02722489677,2885.37597205344,0,0,12,43,1,1,NA,63
"64","Donovan","Miller","Yearly",47537.3376386183,47537.3376386183,"Weekly",1172.6923173024,60980.0004997249,446.035598165682,0,0,8,39,1,1,1,64
"65","Dakota","Zoesch","Weekly",2985.89658529845,155266.622435519,"Yearly",117739.465082755,117739.465082755,16642.1485120328,1,0,7,44,0,0,NA,65
"66","Ashley","al-Abdelrahman","Yearly",22474.8747973037,22474.8747973037,"Yearly",33624.4820781553,33624.4820781553,7393.50169139902,1,0,10,45,0,1,NA,66
"67","Andrea","Porterfield","Weekly",819.989131553206,42639.4348407667,"Monthly",846.095645518633,10153.1477462236,2726.41129116253,0,0,5,46,1,1,0,67
"68","Hysendra","Calderon","Yearly",17571.3795621686,17571.3795621686,"Monthly",1173.55622665,14082.6747198,4133.41246539152,NA,0,9,48,0,1,1,68
"69","Anna","Pak","Weekly",2889.28408992731,150242.77267622,"Weekly",774.70736060668,40284.7827515474,2805.81986486234,1,0,15,57,1,1,1,69
"70","Jakarah","Spensieri","Weekly",36.2587970887172,1885.45744861329,"Weekly",36.018121368852,1872.94231118031,207.903680384369,NA,0,6,51,0,1,NA,70
"71","Naseer","Prophet","Monthly",951.13724298981,11413.6469158777,"Yearly",2366.96461159989,2366.96461159989,1680.23982152812,1,0,8,41,0,1,0,71
"72","Michael","Brunson","Weekly",701.076643198531,36455.9854463236,"Yearly",20979.6074687632,20979.6074687632,14081.8360625076,NA,0,3,48,1,1,NA,72
"73","Daawood","el-Elamin","Yearly",37493.2431014649,37493.2431014649,"Weekly",692.906390084437,36031.1322843907,17067.0965740932,1,0,15,30,1,1,1,73
"74","Antonio","Rael","Weekly",1085.3531252421,56438.362512589,"Weekly",147.160119642367,7652.32622140306,3094.47184209656,1,1,10,47,1,1,NA,74
"75","Zachary","Nguyen","Yearly",11282.8284395718,11282.8284395718,"Weekly",94.6440316838996,4921.48964756278,3868.49540741905,0,0,14,56,0,1,1,75
"76","Cheno","Gardner","Weekly",536.836449082927,27915.4953523122,"Yearly",26158.6795772188,26158.6795772188,25883.9784673486,1,0,10,33,1,0,NA,76
"77","Arshad","Perea","Yearly",13358.3258424537,13358.3258424537,"Weekly",59.343472617585,3085.86057611442,631.007493355816,1,0,8,43,0,1,1,77
"78","Tiffine","Savage","Monthly",1342.54369956992,16110.524394839,"Weekly",73.1762250057231,3805.1637002976,454.239041811961,1,0,11,43,0,1,1,78
"79","Adeeba","Nava","Weekly",1476.55552402092,76780.8872490879,"Weekly",728.876953000215,37901.6015560112,1838.57248382827,0,0,11,50,1,1,0,79
"80","Bryana","Smith","Yearly",10047.603144093,10047.603144093,"Weekly",275.714645763337,14337.1615796935,11138.4645362054,1,0,14,56,0,1,NA,80
"81","Jonathan","Culpepper","Weekly",797.432802557357,41466.5057329826,"Weekly",33.8787260575797,1761.69375499415,410.072842743352,1,1,8,40,1,1,1,81
"82","Hissa","Perry","Yearly",50284.3291099314,50284.3291099314,"Weekly",260.881999003597,13565.8639481871,4307.14003674752,0,1,11,37,0,1,1,82
"83","Robert","Olguin","Weekly",248.184757060549,12905.6073671485,"Weekly",14.5434517134401,756.259489098885,211.262650727049,0,0,12,46,0,1,1,83
"84","Prettyboy","Espinosa","Weekly",61.4526956812026,3195.54017542253,"Monthly",235.10710411454,2821.28524937448,311.853286930486,0,1,9,38,1,1,1,84
"85","Marco","el-Jafri","Yearly",9934.8327307123,9934.8327307123,"Weekly",179.765108743286,9347.78565465087,336.813035172242,0,0,7,46,1,1,1,85
"86","Alexandra","el-Saade","Yearly",41812.3497245658,41812.3497245658,"Weekly",10.4920246847726,545.585283608175,116.483493656274,1,1,6,34,1,1,NA,86
"87","Travion","Lor","Weekly",309.19246829861,16078.0083515277,"Yearly",10032.3533659415,10032.3533659415,4339.86343538239,1,1,3,43,1,1,1,87
"88","Aaron","Serrano","Weekly",2020.21156271122,105051.001260983,"Weekly",933.524504783413,48543.2742487375,3160.08073972216,NA,0,9,39,1,1,NA,88
"89","Anupama","Bailey","Weekly",4391.21077412596,228342.96025455,"Monthly",814.844329416086,9778.13195299304,6145.86904539983,1,1,7,23,0,1,1,89
"90","Sara","Joe","Monthly",949.194248875776,11390.3309865093,"Weekly",28.0950913861103,1460.94475207774,643.76672311401,0,0,9,39,1,1,NA,90
"91","Luis","Valadez","Monthly",1339.53783175204,16074.4539810245,"Weekly",178.487590173487,9281.35468902135,2399.23724248915,1,1,8,50,1,1,1,91
"92","Jameel","Begay","Monthly",2202.23183944154,26426.7820732985,"Monthly",375.637708869476,4507.65250643372,94.7494675718469,NA,0,7,35,1,1,1,92
"93","Amara","Badsky","Yearly",6336.98717057695,6336.98717057695,"Weekly",40.8580973960169,2124.62106459288,568.219471485194,0,0,7,37,1,1,1,93
"94","Matthew","Anderson","Monthly",2319.32175382199,27831.8610458638,"Yearly",7066.73157488478,7066.73157488478,2853.7013200265,NA,0,3,58,0,1,1,94
"95","Joseph","Haskell","Weekly",500.974686247833,26050.6836848873,"Weekly",1407.42810317938,73186.2613653277,2663.18128613126,0,0,8,60,1,1,NA,95
"96","Zuhair","Molitor","Yearly",39292.6586767069,39292.6586767069,"Weekly",114.934845010311,5976.61194053615,2748.60781133296,0,0,5,46,1,1,1,96
"97","Thomas","Hubbart Jr","Monthly",6254.73081923907,75056.7698308688,"Weekly",1337.91475679312,69571.567353242,3989.0947754148,0,0,6,50,1,1,0,97
"98","Abdul Fattaah","Trujillo","Yearly",19369.6355672652,19369.6355672652,"Weekly",210.253011736195,10933.1566102822,4212.78953799804,0,0,7,40,1,1,NA,98
"99","Christian","Siekman","Weekly",178.323905816538,9272.84310245996,"Yearly",3187.90424620746,3187.90424620746,922.125408546253,1,0,11,60,0,1,0,99
"100","Muneef","Rodriguez","Weekly",775.7268405378,40337.7957079656,"Yearly",17778.925574865,17778.925574865,4299.78020841685,0,0,10,36,1,1,NA,100
"101","Frederico","Williams","Weekly",540.501381340011,28106.0718296806,"Yearly",27475.2847632141,27475.2847632141,19358.7301738054,1,0,9,43,1,1,1,101
"102","Ryan","Pineau","Yearly",8706.61088684977,8706.61088684977,"Yearly",16109.686112607,16109.686112607,387.378067712833,1,0,9,42,0,1,1,102
"103","Alexis","Lee","Weekly",708.97740235868,36866.8249226514,"Weekly",69.408688102899,3609.25178135075,457.325044760036,1,0,13,48,1,1,1,103
"104","Isaac","Shoeboot","Monthly",1305.75586934217,15669.0704321061,"Weekly",138.969603095983,7226.4193609911,1536.28274207716,0,0,5,62,1,1,1,104
"105","Wajdi","Kierstead","Weekly",705.164587707199,36668.5585607743,"Yearly",21986.1971728406,21986.1971728406,13131.1770201427,0,0,11,49,0,1,1,105
"106","Courtney","Deck","Weekly",222.916258120633,11591.6454222729,"Weekly",113.137704524646,5883.16063528159,181.936318155548,NA,0,11,38,1,1,NA,106
"107","Eamonn","Castillo","Yearly",67434.5078980653,67434.5078980653,"Yearly",16336.0695472918,16336.0695472918,11912.1225199928,NA,1,6,34,0,0,NA,107
"108","Alexia","Molock","Yearly",23597.4768006122,23597.4768006122,"Yearly",8415.16687573373,8415.16687573373,3790.08332328989,NA,0,10,56,1,1,NA,108
"109","Mckylaa","Peterson","Weekly",1459.84009538407,75911.6849599718,"Yearly",4378.52963156753,4378.52963156753,981.709979951955,1,0,8,57,0,0,NA,109
"110","Christina","Tomlin","Weekly",464.322101041602,24144.7492541633,"Weekly",79.2145732465907,4119.15780882272,1191.87267912166,NA,0,7,68,1,1,1,110
"111","Molly","Samake","Weekly",385.459048011468,20043.8704965964,"Weekly",774.59609323156,40278.9968480411,4345.9979282575,1,0,9,49,1,0,NA,111
"112","Naseema","Davis","Weekly",12090.8292986983,628723.123532314,"Yearly",102019.896734721,102019.896734721,63006.9820726132,NA,0,8,44,1,1,NA,112
"113","Mahfoodha","el-Sham","Weekly",353.138351361261,18363.1942707856,"Weekly",168.163042151047,8744.47819185445,4966.88169036156,1,0,11,43,0,1,1,113
"114","Shalynn","Gilbert","Weekly",562.616030354827,29256.033578451,"Weekly",445.709991696211,23176.919568203,4726.97636870697,NA,0,10,39,0,1,NA,114
"115","Raeven","Roybal","Weekly",227.417550875557,11825.712645529,"Weekly",219.696929384745,11424.2403280067,713.556960591517,1,1,10,52,0,1,NA,115
"116","Indigo","Dupree","Weekly",414.506169940817,21554.3208369225,"Yearly",19278.083098883,19278.083098883,18300.4858906486,1,0,11,36,1,1,1,116
"117","Christopher","Swenson","Yearly",13564.2856088043,13564.2856088043,"Weekly",238.492452873528,12401.6075494235,4329.10600955676,0,0,3,43,1,1,1,117
"118","Kenya","Bieser","Weekly",344.567725246729,17917.5217128299,"Yearly",10551.6728418954,10551.6728418954,8097.75049066377,1,0,14,23,1,1,1,118
"119","Matthew","Olguin","Weekly",2280.71596751796,118597.230310934,"Monthly",5230.33209201038,62763.9851041246,2123.16737099791,0,0,13,35,0,1,1,119
"120","Jalhon","Smith","Yearly",13057.0919927698,13057.0919927698,"Yearly",4182.7170775192,4182.7170775192,212.394510065356,NA,0,5,26,0,1,0,120
"121","Aaron","Nguyen","Monthly",726.263658375818,8715.16390050982,"Yearly",18252.6817854941,18252.6817854941,12136.806051603,0,0,7,46,1,0,NA,121
"122","Blake","Aldaz Holguin","Weekly",139.948087571715,7277.30055372916,"Yearly",5052.68030907399,5052.68030907399,1250.79687983866,1,0,7,50,1,1,NA,122
"123","Mahbooba","Shin","Weekly",376.311560227227,19568.2011318158,"Yearly",1753.88802564359,1753.88802564359,625.387375482464,NA,NA,8,45,1,1,1,123
"124","Kyla","Merritt","Monthly",2358.98413416169,28307.8096099403,"Yearly",11905.1376430966,11905.1376430966,211.317055487554,1,0,5,46,0,1,1,124
"125","Jayden","Juarez","Weekly",474.573112510366,24677.801850539,"Weekly",535.631425262981,27852.834113675,2225.28414141055,NA,NA,4,38,1,1,1,125
"126","Daleel","Sisneros","Weekly",64.4538493822241,3351.60016787565,"Weekly",46.444733500953,2415.12614204956,1054.56749802448,0,1,7,61,1,0,NA,126
"127","Jessalyn","Bowles-Jacks","Weekly",498.751892278484,25935.0983984812,"Yearly",41206.9387636741,41206.9387636741,31580.2358793341,1,1,4,46,1,1,NA,127
"128","Suzy","Krishnan","Yearly",116789.795149855,116789.795149855,"Yearly",36338.0933802616,36338.0933802616,12558.6303788066,1,1,5,58,1,0,NA,128
"129","Chuck","Littlefield","Yearly",62749.1789429802,62749.1789429802,"Weekly",1064.03647895197,55329.8969055027,46280.5044144417,1,0,4,56,1,1,1,129
"130","Uthmaa N","Carey","Yearly",24096.9561103291,24096.9561103291,"Monthly",3060.73415365242,36728.809843829,11140.3452627236,0,0,13,41,0,1,1,130
"131"," Huda","Hart","Yearly",31401.0060663991,31401.0060663991,"Yearly",13093.1705286205,13093.1705286205,11489.1696567894,0,0,8,41,1,0,NA,131
"132","Aaron","Soraoka","Yearly",11083.7959280325,11083.7959280325,"Monthly",1042.7236704622,12512.6840455464,1195.72254886944,1,NA,12,45,1,1,NA,132
"133","Abdul Waahid","el-Salloum","Weekly",2273.18361894993,118205.548185396,"Yearly",39482.1838958511,39482.1838958511,2969.85793657817,1,0,14,42,0,1,1,133
"134","Lortay","Lucero","Yearly",12447.4644360032,12447.4644360032,"Weekly",77.9841921800998,4055.17799336519,1196.16080266036,NA,0,4,43,0,1,1,134
"135","Cole","Lopez","Weekly",925.157755525187,48108.2032873097,"Weekly",517.355604745719,26902.4914467774,181.335307562831,NA,0,5,44,1,0,NA,135
"136","Christopher","Lara-Ocon","Yearly",6910.05321585598,6910.05321585598,"Yearly",5927.28750550065,5927.28750550065,2875.81772717022,1,0,11,33,1,1,1,136
"137","Rebekah","Roychowdhury","Yearly",2559.57772101949,2559.57772101949,"Weekly",48.8250576662634,2538.90299864569,1511.71018880344,NA,0,4,48,0,1,NA,137
"138","Brylon","Harmon","Yearly",2985.70035144741,2985.70035144741,"Monthly",182.573112417445,2190.87734900934,346.42086402769,0,1,13,44,1,1,1,138
"139","Skyeler","Julian-Ambrose","Monthly",2757.79634729544,33093.5561675452,"Yearly",2041.42071511264,2041.42071511264,853.614758464406,NA,NA,9,29,0,1,1,139
"140","Raquel","Hoffmann","Yearly",1449.36263908139,1449.36263908139,"Yearly",1602.03651457351,1602.03651457351,1036.51981199669,NA,0,7,43,1,1,1,140
"141","Ezana","el-Abdul","Weekly",141.992147997128,7383.59169585066,"Weekly",113.615778067445,5908.02045950713,2036.88469596719,NA,0,13,67,1,1,1,141
"142","Rhiannon","Lor","Yearly",40386.8257773089,40386.8257773089,"Monthly",1271.02662246872,15252.3194696246,4160.89631990874,1,0,7,42,1,1,0,142
"143","Brian","Pinch","Yearly",3059.49572549013,3059.49572549013,"Weekly",37.9212253032796,1971.90371577054,198.968020974159,NA,0,13,48,1,1,NA,143
"144","Brandon","De Werd","Yearly",3246.98501575324,3246.98501575324,"Weekly",44.921676510148,2335.9271785277,254.986997793525,1,0,11,48,1,1,1,144
"145","Mariah","Hermanyhorses","Weekly",392.667696622872,20418.7202243894,"Weekly",313.760025927402,16315.5213482249,8643.23454669227,1,1,10,18,1,1,1,145
"146","Abdul Baari","Cupples","Weekly",604.038931318042,31410.0244285382,"Yearly",18843.3952806554,18843.3952806554,8902.6607723502,1,0,8,56,1,1,NA,146
"147","Katie","Trimmer","Weekly",120.591695350669,6270.76815823478,"Weekly",13.7103913518879,712.940350298172,433.717712701236,0,0,4,40,1,1,1,147
"148","Qaaida","Waddell","Weekly",675.992488986802,35151.6094273137,"Yearly",26746.657694921,26746.657694921,7634.52397989712,0,0,6,59,1,1,NA,148
"149","Keyshawn","Hoffman","Weekly",154.242930178342,8020.63236927379,"Yearly",17274.7369192169,17274.7369192169,8627.34772488706,0,1,8,18,1,1,NA,149
"150","Tayyiba","Bailey","Yearly",12423.6651412249,12423.6651412249,"Monthly",300.692946273929,3608.31535528715,2707.04442680698,0,1,7,47,1,1,NA,150
"151","Mija","Ross","Yearly",124956.594591937,124956.594591937,"Weekly",3153.31767947294,163972.519332593,18295.6297248257,NA,0,10,47,1,1,1,151
"152","Kelly","Yang","Yearly",39501.5391914849,39501.5391914849,"Yearly",18769.7284306205,18769.7284306205,4241.33163503756,1,0,9,38,0,1,1,152
"153","Tammaam","al-Mansour","Yearly",15775.9065199128,15775.9065199128,"Yearly",7689.9485758492,7689.9485758492,3508.90921005148,NA,1,7,39,0,1,1,153
"154","Michelle","Edmonson","Yearly",45631.1169632673,45631.1169632673,"Weekly",193.838687879899,10079.6117697547,2256.23625202053,0,0,5,35,0,1,1,154
"155","Heather","Bertaud","Weekly",640.942718069119,33329.0213395942,"Weekly",70.3186065079762,3656.56753841476,3089.86026346499,NA,1,13,60,0,1,NA,155
"156","Andrew","Lopez","Monthly",1299.54396837611,15594.5276205133,"Yearly",6160.72032465237,6160.72032465237,961.559614931028,1,0,13,62,0,1,0,156
"157","Kimberly","Nguyen","Yearly",18998.854749699,18998.854749699,"Yearly",9775.41500124652,9775.41500124652,3232.2285255553,NA,0,8,52,0,1,NA,157
"158","Alexis","Anderson","Yearly",7578.09534324228,7578.09534324228,"Yearly",2949.92047418337,2949.92047418337,1833.42621182674,1,NA,8,66,0,1,1,158
"159","Tatyana","Lang","Yearly",5840.23601618279,5840.23601618279,"Yearly",8257.15603044579,8257.15603044579,5221.69856762947,NA,NA,8,51,0,1,NA,159
"160","Marley","Freeman","Yearly",4581.69141800694,4581.69141800694,"Weekly",41.310503172107,2148.14616494956,2069.40860195143,1,0,12,26,0,1,1,160
"161","Fidda","al-Tamer","Weekly",578.208845438248,30066.8599627889,"Monthly",3728.59648093788,44743.1577712546,44743.1577712546,0,1,4,48,1,1,1,161
"162","Zachary","Charles","Weekly",346.639683850551,18025.2635602287,"Yearly",9525.00225263355,9525.00225263355,3698.31173971281,0,1,8,50,1,1,0,162
"163","Myles","Tatum","Weekly",2609.86764113761,135713.117339156,"Weekly",295.795629969968,15381.3727584383,1544.01477656179,NA,0,10,50,1,1,1,163
"164","Shayne","Oster","Yearly",29002.7711915712,29002.7711915712,"Yearly",2920.70061492792,2920.70061492792,2564.49457875179,0,1,15,36,0,1,NA,164
"165","Ryan","el-Darwish","Yearly",78234.8108757474,78234.8108757474,"Yearly",32107.5116498316,32107.5116498316,233.219911358002,NA,0,9,44,0,1,NA,165
"166","Meng","Thompson","Weekly",3280.28656680152,170574.901473679,"Yearly",78743.5287437501,78743.5287437501,1152.40411423503,1,0,11,49,0,1,1,166
"167","Rafeeq","Bunge","Monthly",992.289051547102,11907.4686185652,"Yearly",7063.80671573116,7063.80671573116,27.1375129200004,1,1,3,72,1,1,1,167
"168","Edward","Hustis","Monthly",2186.52612394355,26238.3134873226,"Yearly",2996.98563906861,2996.98563906861,1675.63108293213,0,0,9,37,1,0,NA,168
"169","Tyson","Jones","Monthly",2076.54233496445,24918.5080195734,"Monthly",206.909816929922,2482.91780315906,1587.29345722468,0,0,17,22,1,1,1,169
"170","Nathanael","Pham","Monthly",1135.25445200378,13623.0534240454,"Monthly",478.765199046527,5745.18238855833,282.806046518569,NA,0,6,42,0,1,NA,170
"171","Kelsi","Duncan","Weekly",3270.49157196942,170065.56174241,"Weekly",4900.68785457089,254835.768437686,13563.1565491357,1,0,16,43,0,1,NA,171
"172","James","Her","Yearly",11911.8453458189,11911.8453458189,"Yearly",16475.6951489624,16475.6951489624,9926.92921701236,NA,1,8,38,1,1,1,172
